id,company,slug,city,state,website,phone,email,description,amenities,events,claimed,contact_count,lat,lng
1,"Regus - Georgia, Atlanta - One Hartsfield",,Atlanta,GA,https://www.regus.com/en-us/united-states/georgia/atlanta/one-hartsfield-center-2102,,,"Regus - Pennsylvania, Newtown Square - Newtown Square Corporate Campus is a premier coworking destination in Newtown Square, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed interne",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,274,33.749,-84.388
2,"Spaces - Georgia, Atlanta - Spaces Midtown East At 715 Peachtree",,Atlanta,GA,https://www.spacesworks.com/atlanta/midtown-east,,,"Spaces - California, Los Angeles - Hollywood Entertainment & Production Center is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed in",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,44,33.749,-84.388
3,"Hq - Georgia, Atlanta - Tower Place",,Atlanta,GA,https://www.hq.com/location/usa/atlanta,,,"Hq - Illinois, Northbrook - Northbrook Botanic Gardens is a premier coworking destination in Northbrook, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant com",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,44,33.749,-84.388
4,Office Evolution,,Atlanta,GA,https://www.officeevolution.com/locations/alpharetta,,,"Office Evolution - Greenwood Village, Co is a premier coworking destination in Greenwood Village, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,15,33.749,-84.388
5,Quest Workspaces - 777 Brickell Ave,,Doral,FL,https://questworkspaces.com/miami-777-brickell2,,,"Quest Workspaces - Fort Lauderdale is a premier coworking destination in Fort Lauderdale, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entre",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,10,27.781594421384227,-81.01352514599596
6,American Executive Centers - Malvern. Great Valley,,Malvern,PA,http://www.americanexecutivecenters.com/locations/malvern,,,"American Executive Centers - Plymouth Meeting is a premier coworking destination in Plymouth Meeting, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant commun",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,7,40.3569259937386,-78.03567229759882
7,Intelligent Office - Roswell Ga,,Atlanta,GA,https://www.intelligentoffice.com:443/georgia/roswell/virtual-assistant-services,,,"Intelligent Office - Minneapolis Mn is a premier coworking destination in Bloomington, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepre",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,5,33.749,-84.388
9,Blankspaces - Hollywood Coworking Office Space (Formerly Sandhouse),,Los Angeles,CA,https://www.blankspaces.com/hollywood,,,"Blankspaces - Hollywood Coworking Office Space (Formerly Sandhouse) is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,4,34.0522,-118.2437
11,Workbar-Central Square,,Cambridge,MA,,,,"Workbar-Central Square is a premier coworking destination in Cambridge, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provi",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,4,42.123040794439085,-71.21888818893022
16,The Work Station- Coworking Office And Event Space,,Madison,CT,https://attheworkstation.com,,,"The Work Station- Coworking Office And Event Space is a premier coworking destination in Madison, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,3,43.0731,-89.4012
17,Gravitate Coworking (Downtown),,Des Moines,IA,https://www.gravitatecoworking.com,,,"Gravitate Coworking (East Village) is a premier coworking destination in Des Moines, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entreprene",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,3,41.5868,-93.625
18,Industrious,,Atlanta,GA,https://www.industriousoffice.com/l/atlanta/midtown/1447-peachtree-st-ne,,,"Industrious - Closed is a premier coworking destination in Pittsburgh, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provid",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,33.749,-84.388
33,The Yard - Philadelphia,,Brooklyn,PA,https://theyard.com/philadelphia-coworking-office-space/center-city,,,"The Yard - Philadelphia is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,40.6782,-73.9442
34,Kismet Cowork - Manayunk,,Manayunk,PA,https://kismetcowork.com,,,"Kismet Cowork - Chestnut Hill is a premier coworking destination in Philadelphia, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,42.17752511338764,-76.77109010765452
35,Premier Workspaces - Coworking & Office Space,,Mount Laurel,PA,https://premierworkspaces.com/new-jersey/mt-laurel,,,"Premier Workspaces - Coworking & Office Space is a premier coworking destination in Mount Laurel, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,40.77036369141757,-77.57900152565324
36,Executive Offices-Greenfield,,Lancaster,PA,https://www.greenfieldlancaster.com/executive-offices-at-greenfield,,,"Executive Offices-Greenfield is a premier coworking destination in Lancaster, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,41.264010475526824,-77.19308558721212
37,Hq Global Workplaces,,Bedminster,PA,http://www.hq.com,,,"Hq Global Workplaces - Closed is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,41.29559980232626,-76.31125185241368
38,Shift Workspaces - Bannock,,Denver,CO,https://findworkspaces.com/workspaces/shift-workspaces-bannock-shared-workspaces-denver-colorado-80204,,,"Shift Workspaces - Bannock is a premier coworking destination in Denver, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,39.7392,-104.9903
43,Think Tank Coworking,,Portland,ME,https://www.thinktankcoworking.com,,,"Think Tank Coworking - Closed is a premier coworking destination in Yarmouth, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,45.5152,-122.6784
44,Executive Suites - Closed,,Overland Park,KS,http://suitesandservices.com,,,"Executive Suites - Closed is a premier coworking destination in Overland Park, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, w",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,39.371109243689254,-98.58255772828117
45,Hub Coworking Hawaii,,Honolulu,HI,https://hubcoworkinghi.com,,,"Hub Coworking Hawaii-Waikiki is a premier coworking destination in Honolulu, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,21.3069,-157.8583
